DOI	Title	Authors	Abstract	Journal	Date
10.1016/j.jare.2025.09.038	Analyzing and forecasting global cervical cancer burden based on WHO's	Huang Y, Lin W, Chen X, Zheng X, Yi H, Zhang L	INTRODUCTION: Cervical cancer remains a major global public health challenge. In 2018, the WHO launched a strategy to eliminate cervical cancer, emphasizing the need for precise epidemiological assessments. OBJECTIVES: This study utilized Global Burden of Disease (GBD) data to analyze the epidemiological indicators, geographical patterns, and temporal trends of cervical cancer, evaluating the global impact of the WHO's strategy. METHODS: Data on cervical cancer from 204 countries and territories (from 1990 to 2021) were retrieved from the GBD database. The year 2018, marking the WHO's global call for elimination, was used to divide data into two periods: 1990 to 2018 and 2019 to 2021. Trends in age-standardized incidence rates and disability-adjusted life years (DALYs) were assessed using estimated annual percentage changes (EAPCs) and joinpoint regression. The socio-demographic index (SDI) was regressed against epidemiological indicators to explore disparities. Health inequality analyses recommended by the WHO were conducted, and an autoregressive integrated moving average (ARIMA) model was applied to predict future trends. RESULTS: From 1990 to 2021, global age-standardized incidence rates and DALYs declined. During 1990 to 2018, the highest EAPC values were observed in Southern Sub-Saharan Africa (2·18), East Asia (0·69), and Eastern Europe (0·31). After 2019, a more significant improvement was noted globally. Regression analyses revealed an	Journal of advanced research	25/09/2025
10.1111/irv.12474	The efficacy of medical masks and respirators against respiratory infection in	MacIntyre CR, Chughtai AA, Rahman B, Peng Y, Zhang Y, Seale H, Wang X, Wang Q	"OBJECTIVE: We aimed to examine the efficacy of medical masks and respirators in protecting against respiratory infections using pooled data from two homogenous randomised control clinical trials (RCTs). METHODS: The data collected on 3591 subjects in two similar RCTs conducted in Beijing, China, which examined the same infection outcomes, were pooled. Four interventions were compared: (i) continuous N95 respirator use, (ii) targeted N95 respirator use, (iii) medical mask use and (iv) control arm. The outcomes were laboratory-confirmed viral respiratory infection, influenza A or B, laboratory-confirmed bacterial colonisation and pathogens grouped by mode of transmission. RESULTS: Rates of all outcomes were consistently lower in the continuous N95 and/or targeted N95 arms. In adjusted analysis, rates of laboratory-confirmed bacterial colonisation (RR 0.33, 95% CI 0.21-0.51), laboratory-confirmed viral infections (RR 0.46, 95% CI 0.23-0.91) and droplet-transmitted infections (RR 0.26, 95% CI 0.16-0.42) were significantly lower in the continuous N95 arm. Laboratory-confirmed influenza was also lowest in the continuous N95 arm (RR 0.34, 95% CI 0.10-1.11), but the difference was not statistically significant. Rates of laboratory-confirmed bacterial colonisation (RR 0.54, 95% CI 0.33-0.87) and droplet-transmitted infections (RR 0.43, 95% CI 0.25-0.72) were also lower in the targeted N95 arm, but not in medical mask arm. CONCLUSION: The results suggest that the classification of infections into droplet versus airborne transmission is an oversimplification. Most guidelines recommend masks for infections spread by droplets. N95 respirators, as ""airborne precautions,"" provide superior protection for droplet-transmitted infections. To ensure the occupational health and safety of healthcare worker, the superiority of respirators in preventing respiratory infections should be reflected in infection control guidelines."	Influenza and other respiratory viruses	01/11/2017
10.1016/j.mam.2025.101413	The double-edged sword: How SARS-CoV-2 might fuel lung cancer: Investigating the	Shen W, Guo Y, Ai C, Wang X, Li G	The COVID-19 pandemic, caused by SARS-CoV-2, has had far-reaching consequences beyond acute respiratory illness, with growing evidence suggesting potential long-term oncogenic effects. Lung cancer, a leading cause of cancer-related mortality, may intersect with COVID-19 through shared molecular pathways and altered disease dynamics. SARS-CoV-2 can exacerbate outcomes in existing cancer patients and potentially contribute to de novo lung carcinogenesis or accelerate progression via chronic inflammation, oxidative stress, immune dysregulation, cellular senescence, cell cycle disruption, metabolic reprogramming, and autophagy impairment. It has been proven that although the SARS virus is not capable of integrating into the host genome, it uses the mechanisms of other human oncoviruses to cause lung cancer. Post-COVID-19 pulmonary fibrosis, observed in up to one-third of severe cases, may act as a tumor precursor bridge through sustained tissue remodeling, extracellular matrix stiffness, and hypoxia-induced epithelial-mesenchymal transition. Epidemiological studies indicate increased cancer-related mortality, metastatic reactivation of dormant cancer cells, and diagnostic delays, shifting presentations toward advanced stages during the pandemic. Synergistic risk factors, including smoking, air pollution, occupational exposures, and genetic predispositions, may further amplify oncogenic potential. The convergence of viral, environmental, and host factors creates a critical need for vigilant surveillance, biomarker development, and preventive strategies. This study aims to synthesize current epidemiological evidence, elucidate the molecular and cellular mechanisms by which SARS-CoV-2 may influence lung carcinogenesis, and highlight clinical implications to guide future research, screening, and therapeutic interventions.	Molecular aspects of medicine	26/09/2025
10.1186/s13045-025-01739-6	Combination immunotherapy in hepatocellular carcinoma: synergies among immune	Dai S, Chen Y, Cai W, Dong S, Zhao J, Chen L, Cheng CS	Combination therapy is rapidly becoming the cornerstone of hepatocellular carcinoma (HCC) treatment. Immune checkpoint inhibitors (ICIs) have emerged as a central strategy in systemic therapy, yet their efficacy as monotherapies remains limited. Consequently, combinatorial approaches, such as ICIs-Tyrosine kinase inhibitors (TKIs), ICIs-chemotherapy, and dual ICI regimens, are gaining momentum. While clinical trials have established efficacy benchmarks, mechanistic insights remain scarce, partly due to the limitations of current preclinical models in mimicking the complex tumor microenvironment (TME). Given the substantial heterogeneity of HCC, spanning genetic, transcriptomic, and immunologic dimensions, treatment outcomes vary widely. Additional factors such as gut microbiota and epigenetic modifications further influence therapeutic response and resistance. Although PD-1, PD-L1, and CTLA-4 inhibitors are widely used, unresponsiveness is common. Novel targets such as LAG-3, TIM-3, TIGIT, and VISTA, as well as strategies to reprogram fibrotic and immunosuppressive TME, are under active investigation. Ultimately, translating basic insights into personalized therapy will depend on predictive biomarkers and integrated analyses that account for the complex interactions among tumor cells, the immune system, and the TME. This review synthesizes current knowledge and cellular mechanisms underpinning combination therapies, highlights therapeutic synergies, and discusses emerging directions for stratified treatment in HCC.	Journal of hematology & oncology	26/09/2025
10.1159/000480657	Geniposide Attenuates Post-Ischaemic Neurovascular Damage via GluN2A/AKT/	Huang B, Chen P, Huang L, Li S, Zhu R, Sheng T, Yu W, Chen Z, Wang T	BACKGROUND/AIMS: Calcium-permeable ionotropic NMDAR-mediated hyperactivity is regarded as the critical factor in modulating the development of ischaemic stroke. Recently, there has been increasing interest in preventing post-stroke neuronal death by focusing on intervening in the function of subpopulations of NMDARs and their downstream signalling. Geniposide, an iridoid glycoside, has been found to have cytoprotective functions in various conditions. However, it is still unclear whether and how geniposide affects neuronal insult under experimental stroke. METHODS: We demonstrate that dose-dependent geniposide significantly decreased the infarct volume in tMCAO models. RESULTS: A medium level of geniposide improved anti-apoptotic functions and inhibited BBB leakage/haemorrhage via elevating GluN2A-containing NMDAR expression in tMCAO rats. Importantly, these effects could be eliminated by co-treatment of geniposide with the GluN2A antagonist NVP but not the GluN2B inhibitor ifenprodil. Moreover, geniposide's protection was due to the enhancement of GluN2A-dependent survival signals, including pAKT, pERK and PSD-95. CONCLUSION: The results suggest that geniposide protects neurons against post-ischaemic neurovascular injury through the activation of GluN2A/AKT/ERK pathways. As a very promising natural agent, geniposide may be a future therapeutic for stroke patients.	Cellular physiology and biochemistry : international journal of experimental	01/01/2017
10.1038/s41586-025-09574-y	SPP1 is required for maintaining mesenchymal cell fate in pancreatic cancer.	Li H, Lan L, Chen H, Zaw Thin M, Ps H, Nelson JK, Evans IM, Ruiz EJ, Cheng R, Tran L, Allen M, Ma J, Yi T, Wang C, He Y, Guppy N, Sadanandam A, Lin SZ, Zhang C, Behrens A	Elucidating the complex network of communication between tumour cells is central to understanding cell fate decisions and progression of pancreatic ductal adenocarcinoma (PDAC)(1,2). We previously showed that constant suppression of BMP activity by the BMP antagonist GREM1 secreted by mesenchymal PDAC cells is essential for maintaining the fate of epithelial PDAC cells(3). Here we identify SPP1 (also known as osteopontin)(4) as a key regulator of mesenchymal cell fate in pancreatic cancer. Proteomic analysis of plasma from patients with PDAC showed that SPP1 is substantially upregulated in late-stage disease. Inactivation of Spp1 led to a delay in tumorigenesis in mouse PDAC models and abolished metastasis formation. Spp1 was expressed in epithelial PDAC cells, and Spp1 inactivation resulted in a conversion of mesenchymal to epithelial PDAC cells. Mechanistically, SPP1 bound the CD61 receptor on mesenchymal PDAC cells to induce Bmp2 and Grem1 expression, and GREM1 inhibition of BMP signalling was required for Spp1 expression in epithelial cells, thereby forming an intercellular regulatory loop. Concomitant inactivation of Grem1 reverted the epithelial phenotype of Spp1 knockout to fully mesenchymal PDAC. Conversely, Grem1 heterozygosity combined with Spp1 knockout resulted in wild-type PDAC histology, a result that confirmed the direct antagonistic functions of these factors. Hence, mesenchymal and epithelial PDAC cell fates are determined by the reciprocal paracrine regulation of the soluble factors GREM1 and SPP1.	Nature	24/09/2025
10.1016/j.chom.2025.09.010	A Bacteroides fragilis protease activates host PAR(2) to induce intestinal pain	Lakemeyer M, Latorre R, Blazkova K, Wood HM, Jensen DD, Shakil N, Thomas SC, Saxena D, Mulpuri Y, Poolman D, Duran P, Keller LJ, Reed DE, Schmidt BL, Jiménez-Vargas NN, Xu F, Lomax AE, Bunnett NW, Bogyo M	Protease-activated receptor 2 (PAR(2)) is a central regulator of intestinal barrier function, inflammation, and pain. Upregulated intestinal proteolysis and PAR(2) signaling are implicated in inflammatory bowel diseases (IBDs) and irritable bowel syndrome (IBS), conditions often associated with gut microbiome alterations. To identify potential bacterial regulators of PAR(2) activity, we developed a functional assay for PAR(2) processing to screen a library of diverse gut microbes. We identify multiple bacteria that secrete proteases capable of cleaving host PAR(2). Using chemoproteomic profiling with a covalent irreversible inhibitor, we uncovered a previously uncharacterized Bacteroides fragilis serine protease 1 (Bfp1) and show that it cleaves and activates PAR(2) in multicellular and murine models. PAR(2) cleavage by Bfp1 disrupts the intestinal barrier, sensitizes nociceptors, and triggers colonic inflammation and abdominal pain. Collectively, our findings uncover Bfp1-mediated PAR(2) processing as an axis of host-commensal interaction in the gut that has the potential to be targeted for therapeutic intervention in IBD or IBS.	Cell host & microbe	26/09/2025
10.1038/s41591-025-03918-x	Genomically matched therapy in advanced solid tumors: the randomized phase 2 ROME	Marchetti P, Curigliano G, Biffoni M, Lonardi S, Scagnoli S, Fornaro L, Guarneri V, De Giorgi U, Ascierto PA, Blandino G, D'Amati G, Aglietta M, Cremolini C, Conte P, Crimini E, Ceracchi M, Pisegna S, Verkhovskaia S, Bordonaro R, Bracarda S, Butturini G, Del Mastro L, DeCensi A, Fabbri A, Fenocchio E, Gori S, Metro G, Pessino A, Pozzessere D, Puglisi F, Tamberi S, Zambelli A, Marino D, Capoluongo E, Cappuzzo F, Cerbelli B, Giannini G, Malapelle U, Mazzuca F, Nuti M, Pruneri G, Simmaco M, Strigari L, Tonini G, Martini N, Botticelli A	Despite recent advancements demonstrating the potential of tumor-agnostic biomarkers to guide effective therapies, randomized evidence supporting the clinical superiority of precision oncology approaches compared to standard therapies remains limited. The ROME trial was a multicenter, randomized, open-label phase 2 study comparing tailored treatment (TT) to standard of care (SoC) in patients with advanced solid tumors progressing after one or two lines of therapy. Comprehensive genomic profiling on tissue and blood was performed to identify actionable alterations. Overall response rate (ORR) was the primary endpoint, and progression-free survival (PFS), overall survival (OS), time to treatment failure (TTF), time to next treatment (TTNT) and safety were the secondary endpoints. Between November 2020 and August 2023, 1,794 patients were screened, 897 were evaluated by the molecular tumor board (MTB) and 400 were randomized to TT or SoC. TT achieved a significantly higher ORR (17.5% versus 10%; P = 0.0294) and improved median PFS (3.5 months versus 2.8 months; hazard ratio = 0.66 (0.53-0.82), P = 0.0002). TT also showed superior 12-month PFS rates (22.0% versus 8.3%). Median OS was similar, with a 52% crossover rate. Grade 3/4 adverse events were also similar (40% TT versus 52% SoC). These results highlight the potential of TT to improve outcomes for patients with diverse actionable genomic alterations. These results also provide relevant evidence supporting a tumor-agnostic precision oncology strategy and highlight the potential of TTs, guided by genomic profiling and MTB recommendations, to significantly improve outcomes for patients with diverse actionable genomic alterations. ClinicalTrials.gov identifier: NCT04591431 .	Nature medicine	29/09/2025
10.1016/S1474-4422(25)00249-2	Blood and CSF biomarkers for multiple sclerosis: emerging clinical applications.	Chitnis T, Magliozzi R, Abdelhak A, Kuhle J, Leppert D, Bielekova B	Neurofilament light chain (NfL), glial fibrillary acidic protein (GFAP), chitinase-3-like protein 1 (CHI3L1), and other protein assays are being developed as diagnostic or prognostic biomarkers in multiple sclerosis. An increase in NfL concentrations reflects axonal damage resulting from the acute new inflammatory disease activity that occurs during a relapse. NfL concentrations can also reflect the occurrence of new MRI lesions. GFAP concentrations are increased in people with progressive forms of multiple sclerosis, and GFAP is an emerging biomarker of progression independent of relapses. CHI3L1 is an emerging biomarker associated with progression independent of relapse activity and several MRI lesion types, including paramagnetic rim lesions. Some biomarkers, particularly NfL, can help monitoring treatment response, and combinations of multivariate biomarkers provide additional accuracy in specific clinical scenarios. In multiple sclerosis, fluid-based biomarkers are quickly emerging as instruments for clinical monitoring of disease course and patients' response to treatment.	The Lancet. Neurology	24/09/2025
10.1152/advan.00039.2021	Effect of self-regulated learning and technology-enhanced activities on anatomy	Bains M, Kaliski DZ, Goei KA	Problem-based learning (PBL) offers advantages for teaching anatomy and physiology for physical therapy students as clinical cases provide a scaffold for a comprehensive review of body systems. Although the utilization of interactive anatomy software greatly contributes to an active learning environment and efficient use of time, simply providing textbook readings, access to anatomy software, and models is not enough to engage students to become active in reaching their learning goals. Time constraints, meaningful technology implementation, resource abundance, and unfamiliarity are challenges that decrease the effectiveness of both facilitating and learning anatomy. The present study investigated the use of three supplemental learning tools to support anatomy instruction in a self-regulated manner. Friedman test results demonstrated significant differences for perceived engagement [χ(2)(2) = 15.74, P < 0.001, W = 0.23] but not for perceived learning. Survey responses demonstrated that perceived engagement was greatest with the nondigital supplemental learning tool compared with the two technology-enhanced learning tools (iBooks Author + SoftChalk and SoftChalk alone). Multivariate regression analyses demonstrated statistically significant relationships between the nondigital supplemental learning tool and anatomy practical scores (P < 0.001). The technology-enhanced supplemental learning tools did not further increase learning outcomes as measured by practical scores compared with nondigital learning tools. Incorporation of instructor-created instructional materials independent of technology is an efficient method to drive self-regulated learning, enhance engagement, and improve anatomy course outcomes and may overcome barriers associated with a purely self-directed PBL model.	Advances in physiology education	1/06/2022
10.1088/1361-6560/aca3f8	Experimental feasibility of xenon-enhanced dual-energy radiography for imaging of	Basharat F, Tanguay J	Chronic obstructive pulmonary disease (COPD) is a leading cause of death worldwide. We experimentally investigated the feasibility of two-dimensional xenon-enhanced dual-energy (XeDE) radiography for imaging of lung function. We optimized image quality under quantum-noise-limited conditions using a chest phantom consisting of a rectangular chamber representing the thoracic volume and PMMA slabs simulating x-ray attenuation by soft tissue. A sealed, air-filled cavity with thin PMMA walls was positioned inside the chamber to simulate a 2 cm thick ventilation defect. The chamber was ventilated with xenon and dual-energy imaging was performed using a diagnostic x-ray tube and a flat-panel detector. The contrast-to-noise ratio of ventilation defects normalized by patient x-ray exposure maximized at a kV-pair of approximately 60/140-kV and when approximately one third of the total exposure was allocated to the HE image. We used the optimized technique to image a second phantom that contained lung-parenchyma-mimicking PMMA clutter, rib-mimicking aluminum slats and an insert that simulated ventilation defects with thicknesses ranging from 0.5 cm to 2 cm and diameters ranging from 1 cm to 2 cm. From the resulting images we computed the area under the receiver operating characteristic curve (AUC) of the non-prewhitening model observer with an eye filter and internal noise. For a xenon concentration of 75%, good AUCs (i.e. 0.8-0.9) to excellent AUCs (i.e. >0.9) were obtained when the defect diameter is greater than 1.3 cm and defect thickness is 1 cm. When the xenon concentration was reduced to 50%, the AUC was ∼0.9 for defects 1.2 cm in diameter and ∼1.5 cm in thickness. Two-dimensional XeDE radiography may therefore enable detection of functional abnormalities associated with early-stage COPD, for which xenon ventilation defects can occupy up to 20% of the lung volume, and should be further developed as a low-cost alternative to MRI-based approaches and a low-dose alternative to CT-based approaches.	Physics in medicine and biology	12/12/2022
10.1016/j.ccell.2025.09.001	Single-cell resolution spatial analysis of antigen-presenting cancer-associated	Chen X, Zhou Z, Xie L, Qiao K, Jia Y, Liu S, Yazgan Z, Rossi F, Liu Y, Zhang B, Polanco PM, Zeh HJ 3rd, Kim AC, Huang H	Recent studies identify a unique subtype of cancer-associated fibroblasts (CAFs) termed antigen-presenting CAFs (apCAFs), which remain poorly understood. To gain a comprehensive understanding of the origin and function of apCAFs, we construct a fibroblast molecular atlas across 15 types of tissues and solid tumors. Our integration study unexpectedly reveals two distinct apCAF populations present in most cancer types: one associated with mesothelial-like cells and the other with fibrocytes. Using a high-resolution single-cell spatial imaging platform, we characterize the spatial niches of these apCAF populations. We find that mesothelial-like apCAFs are located near cancer cells, while fibrocyte-like apCAFs are associated with lymphocyte-enriched niches. Additionally, we discovered that both apCAF populations can up-regulate secreted phosphoprotein 1 (SPP1), which facilitates primary tumor formation, peritoneal metastasis, and therapy resistance. Taken together, this study offers an unprecedented resolution in analyzing apCAFs and their spatial niches.	Cancer cell	25/09/2025
10.1016/j.xgen.2025.101012	Genetic landscape of human oocyte/embryo defects.	Chen B, Wang W, Shi J, Sun X, Guan Y, Hao G, Zhao J, Mu J, Zhang Z, Xu F, Gao D, Pan Z, Yu R, Gu H, Fan H, Luo Y, Xie S, Du X, Jing H, Ye Z, Zhang X, Hai R, Zhu H, Wu T, Li Q, Fu J, Wu L, Wang W, Li C, Diao F, Shi Q, Li L, Xu S, Li D, Dong X, Xu P, Wang J, He L, Kuang Y, Sang Q, Wang L	Oocyte/embryo defects can result in oocyte maturation arrest, fertilization failure, embryonic arrest, and infertility as well as recurrent in vitro fertilization (IVF) or intracytoplasmic sperm injection (ICSI) failures. However, the genetic determinants of human oocyte/embryo defects remain largely unknown, and the overall genetic diagnostic yield for such defects has not been evaluated. Here, we performed exome sequencing in 3,627 patients with oocyte/embryo defects. We identified a total of 479 positive cases carrying variants in 37 known genes, indicating a diagnostic yield of 13.2%. Case-control association studies combined with gene set enrichment analysis identified 123 novel candidate genes responsible for oocyte/embryo defects. These results provide a comprehensive genetic landscape of human oocyte/embryo defects and highlight the clinical significance of genetic counseling in infertile patients with oocyte/embryo defects. Our study will lay the foundation for transforming the traditional clinical practice for failed IVF/ICSI attempts into genetic-based precision and personalized treatment for these patients.	Cell genomics	25/09/2025
10.1038/s41590-025-02289-2	Chemotherapy-induced CA-repeat DNA fragments in breast cancer trigger antitumor	Zhang X, Huang P, Chen H, Yang C, Yang X, Liu Y, Wu B, Zeng W, Saw PE, Ye S, Li J, Wang J, Wu Z, Wang J, Li H, Huang JD, Zeng M, Li M, Liu Q, Su S, Song E, Chen J	Damage-associated molecular patterns generated by cancer treatment can modulate antitumor immunity, but the underlying mechanisms of this effect are unclear. Here we show that CA-enriched DNA fragments resulting from DNA-damaging chemotherapy in MSH2-low tumors preferentially bind cGAS with strong affinity and form biomolecular condensates by phase separation in the cytoplasm, resulting in antitumor immunity. However, classical CA-poor DNAs released from MSH2-high tumor cells engage AIM2, resulting in immunosuppression by upregulating PD-L1 and IDO. Intratumoral administration of CA-rich DNA fragments enhanced antitumor immunity in syngrafted PyMT tumors. Clinically, CA-rich DNA abundance in breast cancer following chemotherapy was associated with increased tumor-antigen-reactive T cells and better chemotherapeutic responses. Therefore, different tumor DNA fragments can trigger opposing immune responses depending on their preference for differential sensors. This study highlights another mechanistic link between genome instability and immune modulation and the therapeutic potential of CA-rich DNAs to enhance antitumor immunity.	Nature immunology	29/09/2025
10.7326/ANNALS-24-01863	Association Between Body Composition and Cardiometabolic Outcomes : A Prospective	Jung M, Reisert M, Rieder H, Rospleszcz S, Lu MT, Bamberg F, Raghu VK, Weiss J	BACKGROUND: Current measures of adiposity have limitations. Artificial intelligence (AI) models may accurately and efficiently estimate body composition (BC) from routine imaging. OBJECTIVE: To assess the association of AI-derived BC compartments from magnetic resonance imaging (MRI) with cardiometabolic outcomes. DESIGN: Prospective cohort study. SETTING: UK Biobank (UKB) observational cohort study. PARTICIPANTS: 33 432 UKB participants with no history of diabetes, myocardial infarction, or ischemic stroke (mean age, 65.0 years [SD, 7.8]; mean body mass index [BMI], 25.8 kg/m(2) [SD, 4.2]; 52.8% female) who underwent whole-body MRI. MEASUREMENTS: An AI tool was applied to MRI to derive 3-dimensional (3D) BC measures, including subcutaneous adipose tissue (SAT), visceral adipose tissue (VAT), skeletal muscle (SM), and SM fat fraction (SMFF), and then calculate their relative distribution. Sex-stratified associations of these relative compartments with incident diabetes mellitus (DM) and major adverse cardiovascular events (MACE) were assessed using restricted cubic splines. RESULTS: Adipose tissue compartments and SMFF increased and SM decreased with age. After adjustment for age, smoking, and hypertension, greater adiposity and lower SM proportion were associated with higher incidence of DM and MACE after a median follow-up of 4.2 years in sex-stratified analyses; however, after additional adjustment for BMI and waist circumference (WC), only elevated VAT proportions and high SMFF (top fifth percentile in the cohort for each) were associated with increased risk for DM (respective adjusted hazard ratios [aHRs], 2.16 [95% CI, 1.59 to 2.94] and 1.27 [CI, 0.89 to 1.80] in females and 1.84 [CI, 1.48 to 2.27] and 1.84 [CI, 1.43 to 2.37] in males) and MACE (1.37 [CI, 1.00 to 1.88] and 1.72 [CI, 1.23 to 2.41] in females and 1.22 [CI, 0.99 to 1.50] and 1.25 [CI, 0.98 to 1.60] in males). In addition, in males only, those in the bottom fifth percentile of SM proportion had increased risk for DM (aHR for the bottom fifth percentile of the cohort, 1.96 [CI, 1.45 to 2.65]) and MACE (aHR, 1.55 [CI, 1.15 to 2.09]). LIMITATION: Results may not be generalizable to non-Whites or people outside the United Kingdom. CONCLUSION: Artificial intelligence-derived BC proportions were strongly associated with cardiometabolic risk, but after BMI and WC were accounted for, only VAT proportion and SMFF (both sexes) and SM proportion (males only) added prognostic information. PRIMARY FUNDING SOURCE: None.	Annals of internal medicine	30/09/2025
10.1016/j.annonc.2025.09.008	ESMO-ESTRO consensus statements on the safety of combining radiotherapy with	van Aken ESM, Devnani B, Prelaj A, Castelo-Branco L, Marijnen CAM, Martins-Branco D, Gambacorta MA, Lamarca A, Harrington K, Minniti G, Hecht M, Papamichael D, Krause M, Cathomas R, Lindberg K, O'Cathail SM, Nestle U, Barriuso J, Nowicki S, Rödel C, Boot P, Belka C, Ricardi U, Lordick F, De Ruysscher D, Pentheroudakis G, de Jong MC, Gandhi AK	BACKGROUND: The combination of radiotherapy (RT) with targeted agents or immunotherapy may result in improved outcomes, but it can also increase toxicity. However, there is a paucity of high-quality toxicity data, leading to an absence of evidence-based guidelines. DESIGN: To address this, ESMO and ESTRO initiated a series of systematic reviews followed by a Delphi consensus process to develop multidisciplinary, evidence-based consensus statements regarding the safety of combining RT with such agents. The current publication describes the combination of RT with immune checkpoint inhibitors (ICIs), vascular endothelial growth factor (receptor) (VEGF(R)) inhibitors, or multitargeted tyrosine kinase inhibitors (TKIs). By systematically covering different drug classes and irradiated areas, 76 clinical scenarios were evaluated during two Delphi rounds with 20 international experts. Safety statements were developed for each scenario, based on the systematic literature reviews. RESULTS: A total of 5,921 records were screened during the systematic literature review process for ICIs, VEGF(R) inhibitors and multitargeted TKIs, and 159 reports were selected for inclusion in the final literature reviews and the database. During the two Delphi rounds, agreement was reached regarding the safety statements for 74 clinical scenarios. CONCLUSIONS: Generally, the expected toxicity of combining RT with ICIs is low, particularly for PD-(L)1 inhibitors. For most combinations with VEGF(R) inhibitors and multitargeted TKIs, exercising caution is recommended. The evidence-based safety statements developed during this comprehensive project, provide practical guidance on combining RT with targeted cancer therapies and immunotherapy.	Annals of oncology : official journal of the European Society for Medical	26/09/2025
10.1016/j.beem.2025.102038	Preconception use of GLP-1 and GLP-1/GIP receptor agonists for obesity treatment.	Koceva A, Janež A, Jensterle M	Obesity is rising among women of reproductive age and significantly contributes to subfertility. If conception occurs, maternal obesity is associated with increased risks for both maternal and neonatal complications, with potential long-term effects on the offspring's health. Current clinical guidelines emphasize the importance of preconception weight optimization in women with obesity to reduce maternal and fetal risks. Amid the rising use of incretin-based anti-obesity medications, particularly among young women, their potential role in preconception care is receiving growing clinical and research interest. With unplanned pregnancies remaining common, incidental exposure during early pregnancy is becoming more likely. In parallel, there is increasing interest in the potential of these agents to support preconception weight loss and enhance fertility outcomes in women with obesity. This narrative review examines the current human evidence on GLP-1 and dual GLP-1/GIP receptor agonists approved for obesity treatment, focusing on their potential role in preconception care and addressing key safety considerations and challenges related to their use during the preconception period, as well as inadvertent exposure in early pregnancy.	Best practice & research. Clinical endocrinology & metabolism	24/09/2025
10.1016/j.xcrm.2025.102373	Gut symbiont-derived ursodeoxycholic acid promotes fatty acid oxidation to	Xie M, Zheng J, Yu Y, Yang Q, Zhou Z, Xue J, Wang B, Qiu Y, Zhu Z, Sun Q, Shi X, Shangguan W, Li L, Zou Z, Zhao J, Wu P	Renal ischemia-reperfusion injury (IRI) is a common complication of renal surgery that currently lacks effective prevention or treatment strategies. The gut microbiota and their metabolites are closely associated with kidney injury. However, the exact mechanisms underlying this link are unclear. Here, we find that renal IRI reduces ursodeoxycholic acid (UDCA), a metabolite of Eubacterium limosum (E. limosum), in mice cecal content and serum. Conversely, supplementation with either E. limosum or UDCA prevents these mice from IRI. Mechanistically, UDCA directly binds and activates peroxisome proliferator-activated receptor-gamma (PPARγ) to increase fatty acid oxidation, inducing ATP production and reducing lipid accumulation in proximal tubular epithelial cells, ultimately protecting the kidney against IRI. Importantly, while renal IRI in patients markedly lowers their serum UDCA, patients with higher pre-IRI UDCA or E. limosum level develop less severe IRI. Collectively, our findings highlight the rationale of using UDCA and E. limosum for the prevention or treatment of renal IRI.	Cell reports. Medicine	26/09/2025
10.1016/j.phymed.2025.157284	Atractylenolide III alleviates cerebral ischemia-reperfusion injury by targeting	Guo R, Quan S, Yan X, Jia Y, Wang N, Bu J, Zhao Y, Su L, Yue Z, Wang J, Li Z, Li Y	BACKGROUND: Atractylenolide III (ATL III), a natural sesquiterpene lactone, exhibits neuroprotective properties against cerebral ischemia-reperfusion injury (CIRI), but its underlying mechanism remains unclear. PURPOSE: To identify the pharmacological target and elucidate the mechanism of ATL III in CIRI protection. METHODS: Middle cerebral artery occlusion/reperfusion (MCAO/R) in mice and oxygen-glucose deprivation/reperfusion (OGD/R) in HT22 cells were employed to evaluate the protective effects of ATL III on neurological function, oxidative stress, and apoptosis. Network pharmacology, molecular docking, surface plasmon resonance, and molecular dynamics were used to identify its direct target. Molecular mechanisms were validated using Western blot, immunofluorescence, and a pharmacological inhibitor both in vitro and in vivo. RESULTS: ATL III (10, 20, 40 mg/kg) significantly reduced infarct volume in MCAO/R mice from 42 % to 33 %, 27 %, and 20 %, and decreased neurological scores from 13 to 9, 7, and 5. Histology revealed alleviated hippocampal neuronal damage. In HT22 cells, ATL III decreased OGD/R-induced apoptosis, lowered ROS levels from 374 % to 202 %, increased SOD and GSH, and reduced MDA levels. Keap1 was identified as a direct target; ATL III disrupted the Keap1-Nrf2 interaction, reduced Keap1 protein levels, increased Nrf2 expression and nuclear translocation, and upregulated HO-1 expression. Nrf2 inhibition with ML385 abolished these antioxidative and neuroprotective effects in both models. CONCLUSION: ATL III protects against CIRI by directly targeting Keap1 and activating the Nrf2/HO-1 pathway. Given its favorable safety profile and blood-brain barrier (BBB) permeability, ATL III holds promising translational potential as a plant-derived prophylactic agent for ischemic stroke.	Phytomedicine : international journal of phytotherapy and phytopharmacology	19/09/2025
